,researchExp,industryExp,internExp,greV,greQ,journalPubs,confPubs,univName,year,targetRank,admit
127,0,0,0.0,142.0,154.0,0,0,Worcester Polytechnic Institute,2013,91,0
128,0,0,0.0,152.0,155.0,0,0,Worcester Polytechnic Institute,2006,91,0
129,0,0,0.0,157.0,164.0,0,0,Worcester Polytechnic Institute,2014,91,0
130,0,0,0.0,145.0,160.0,0,0,Worcester Polytechnic Institute,2013,91,0
131,0,0,0.0,149.0,155.0,0,0,Worcester Polytechnic Institute,2012,91,0
132,0,0,0.0,150.0,156.0,0,0,Worcester Polytechnic Institute,2011,91,0
133,0,24,3.0,150.0,162.0,0,0,Worcester Polytechnic Institute,2014,91,0
134,0,0,0.0,160.0,153.0,0,0,Worcester Polytechnic Institute,2011,91,0
135,0,0,0.0,149.0,158.0,0,0,Worcester Polytechnic Institute,2013,91,0
136,0,0,0.0,148.0,162.0,0,0,Worcester Polytechnic Institute,2013,91,0
137,0,0,0.0,165.0,161.0,0,0,Worcester Polytechnic Institute,2012,91,0
138,0,0,0.0,145.0,158.0,0,0,Worcester Polytechnic Institute,2014,91,0
139,0,0,15.0,152.0,163.0,0,1,Worcester Polytechnic Institute,2015,91,0
140,0,0,0.0,143.0,161.0,0,0,Worcester Polytechnic Institute,2013,91,0
141,0,0,0.0,150.0,159.0,0,0,Worcester Polytechnic Institute,2012,91,0
142,0,0,0.0,144.0,153.0,0,0,Worcester Polytechnic Institute,2014,91,0
144,0,8,0.0,149.0,153.0,0,0,Worcester Polytechnic Institute,2015,91,0
145,0,0,0.0,146.0,160.0,0,0,Worcester Polytechnic Institute,2014,91,0
146,0,0,0.0,149.0,151.0,0,0,Worcester Polytechnic Institute,2012,91,0
147,0,0,0.0,156.0,167.0,0,0,Worcester Polytechnic Institute,2016,91,0
148,0,0,0.0,151.0,166.0,0,0,Worcester Polytechnic Institute,2013,91,0
149,0,0,0.0,150.0,151.0,0,0,Worcester Polytechnic Institute,2011,91,0
150,0,0,0.0,152.0,161.0,0,0,Worcester Polytechnic Institute,2011,91,0
151,0,0,0.0,142.0,160.0,0,0,Worcester Polytechnic Institute,2011,91,0
152,0,0,0.0,141.0,161.0,0,0,Worcester Polytechnic Institute,2013,91,0
153,12,0,12.0,156.0,167.0,1,2,Worcester Polytechnic Institute,2014,91,0
154,0,0,0.0,153.0,159.0,0,0,Wayne State University,2015,150,1
155,0,0,0.0,134.0,152.0,0,0,Wayne State University,2011,150,1
156,0,0,0.0,140.0,156.0,0,0,Wayne State University,2014,150,1
158,0,12,0.0,151.0,164.0,0,0,Wayne State University,2015,150,1
159,0,0,6.0,144.0,158.0,0,0,Wayne State University,2014,150,1
160,0,0,0.0,150.0,151.0,0,0,Wayne State University,2013,150,1
161,0,0,0.0,145.0,156.0,0,0,Wayne State University,2011,150,1
163,0,0,0.0,154.0,164.0,0,0,Wayne State University,2013,150,1
164,0,0,0.0,153.0,157.0,0,0,Wayne State University,2015,150,1
165,0,0,0.0,148.0,160.0,0,0,Wayne State University,2013,150,1
166,0,0,0.0,145.0,164.0,0,0,Wayne State University,2012,150,1
167,0,0,0.0,149.0,165.0,0,0,Wayne State University,2015,150,1
168,0,9,2.0,142.0,153.0,0,0,Wayne State University,2015,150,1
169,0,0,0.0,154.0,161.0,0,0,Wayne State University,2013,150,1
170,0,0,0.0,145.0,152.0,0,0,Wayne State University,2015,150,1
171,0,0,0.0,143.0,158.0,0,0,Wayne State University,2013,150,1
172,0,0,0.0,151.0,167.0,0,0,Wayne State University,2013,150,1
173,0,0,0.0,138.0,152.0,0,0,Wayne State University,2014,150,1
